Time_[sec] velocity_[m/s] position_[m/s]
0.18 0.00140383 0.306869
0.181 0.00141937 0.306869
0.182 0.00143499 0.306869
0.183 0.00145069 0.306869
0.184 0.00146648 0.306869
0.185 0.00148235 0.306868
0.186 0.0014983 0.306869
0.187 0.00151434 0.306869
0.188 0.00153046 0.306868
0.189 0.00154666 0.306868
0.19 0.00156295 0.306868
0.191 0.00157932 0.306869
0.192 0.00159578 0.306868
0.193 0.00161232 0.306868
0.194 0.00162894 0.306868
0.195 0.00164564 0.306867
0.196 0.00166243 0.306868
0.197 0.0016793 0.306868
0.198 0.00169626 0.306868
0.199 0.00171329 0.306869
0.2 0.00173041 0.306867
0.201 0.00174762 0.306867
0.202 0.0017649 0.306867
0.203 0.00178227 0.306868
0.204 0.00179972 0.306869
0.205 0.00181726 0.306868
0.206 0.00183487 0.306868
0.207 0.00185257 0.306868
0.208 0.00187036 0.306868
0.209 0.00188822 0.306869
0.21 0.00190617 0.306868
0.211 0.0019242 0.306868
0.212 0.00194231 0.306869
0.213 0.00196051 0.306868
0.214 0.00197879 0.306868
0.215 0.00199715 0.30687
0.216 0.00201559 0.306868
0.218 0.00205272 0.306869
0.219 0.00207141 0.306869
0.22 0.00209018 0.30687
0.221 0.00210903 0.306869
0.222 0.00212797 0.306869
0.223 0.00214699 0.306869
0.224 0.00216609 0.30687
0.225 0.00218527 0.30687
0.226 0.00220453 0.306869
0.227 0.00222387 0.30687
0.228 0.0022433 0.306868
0.229 0.00226281 0.306869
0.23 0.0022824 0.306869
0.231 0.00230207 0.306868
0.232 0.00232182 0.30687
0.233 0.00234166 0.306869
0.234 0.00236157 0.30687
0.235 0.00238157 0.306869
0.236 0.00240165 0.30687
0.237 0.00242181 0.30687
0.238 0.00244205 0.30687
0.239 0.00246237 0.306869
0.24 0.00248278 0.306868
0.241 0.00250326 0.306869
0.242 0.00252383 0.306869
0.243 0.00254447 0.306869
0.244 0.0025652 0.306868
0.245 0.00258601 0.306869
0.246 0.0026069 0.306869
0.247 0.00262787 0.306869
0.248 0.00264892 0.306869
0.249 0.00267005 0.306868
0.25 0.00269126 0.30687
0.251 0.00271256 0.306869
0.252 0.00273393 0.306869
0.253 0.00275539 0.306869
0.254 0.00277692 0.306869
0.255 0.00279853 0.30687
0.256 0.00282023 0.306869
0.257 0.00284201 0.306869
0.258 0.00286386 0.306869
0.259 0.0028858 0.306869
0.26 0.00290781 0.306869
0.261 0.00292991 0.306869
0.262 0.00295209 0.306869
0.263 0.00297434 0.306869
0.264 0.00299668 0.30687
0.265 0.00301909 0.306869
0.266 0.00304159 0.306869
0.267 0.00306416 0.306869
0.268 0.00308682 0.306869
0.269 0.00310955 0.306869
0.27 0.00313237 0.306869
0.271 0.00315526 0.306869
0.272 0.00317823 0.306869
0.273 0.00320129 0.306869
0.274 0.00322442 0.30687
0.275 0.00324763 0.306868
0.276 0.00327092 0.306869
0.277 0.00329429 0.306869
0.278 0.00331774 0.306869
0.279 0.00334127 0.306869
0.28 0.00336487 0.306869
0.281 0.00338856 0.306868
0.282 0.00341232 0.306869
0.283 0.00343617 0.306868
0.284 0.00346009 0.306868
0.285 0.00348409 0.30687
0.286 0.00350817 0.306868
0.287 0.00353233 0.30687
0.288 0.00355656 0.306868
0.289 0.00358088 0.306869
0.29 0.00360527 0.306869
0.291 0.00362974 0.30687
0.292 0.00365429 0.306869
0.293 0.00367892 0.306869
0.294 0.00370363 0.306869
0.295 0.00372841 0.306869
0.296 0.00375327 0.306869
0.297 0.00377821 0.306869
0.298 0.00380323 0.306869
0.299 0.00382833 0.306868
0.3 0.0038535 0.306869
0.301 0.00387875 0.306868
0.302 0.00390408 0.306868
0.303 0.00392949 0.306868
0.304 0.00395497 0.306868
0.305 0.00398054 0.306868
0.306 0.00400618 0.306869
0.307 0.00403189 0.306868
0.308 0.00405769 0.306869
0.309 0.00408356 0.30687
0.31 0.00410951 0.306868
0.311 0.00413553 0.306868
0.312 0.00416163 0.306869
0.313 0.00418781 0.306869
0.314 0.00421407 0.30687
0.315 0.0042404 0.30687
0.316 0.00426681 0.306869
0.317 0.0042933 0.306868
0.318 0.00431986 0.306869
0.319 0.0043465 0.30687
0.32 0.00437322 0.306869
0.321 0.00440001 0.30687
0.322 0.00442688 0.306869
0.323 0.00445383 0.30687
0.324 0.00448085 0.30687
0.325 0.00450795 0.30687
0.326 0.00453512 0.30687
0.327 0.00456237 0.30687
0.328 0.0045897 0.306869
0.329 0.0046171 0.30687
0.33 0.00464458 0.306869
0.331 0.00467213 0.306869
0.332 0.00469976 0.30687
0.333 0.00472747 0.30687
0.334 0.00475525 0.306869
0.335 0.0047831 0.306869
0.336 0.00481103 0.306869
0.337 0.00483904 0.306869
0.338 0.00486712 0.306869
